from,to,type,weight
g0582,g0583,GENE-GENE,0.21
g0584,g0585,GENE-GENE,0.2
g0586,g0587,GENE-GENE,0.21
g0588,g0589,GENE-GENE,0.18
g0590,g0591,GENE-GENE,0.19
g0592,g0593,GENE-GENE,0.21
g0594,g0595,GENE-GENE,0.18
g0596,g0597,GENE-GENE,0.18
g0598,g0599,GENE-GENE,0.19
g0600,g0601,GENE-GENE,0.11
g0602,g0603,GENE-GENE,0.21
g0604,g0605,GENE-GENE,0.2
g0606,g0607,GENE-GENE,0.21
g0608,g0609,GENE-GENE,0.18
g0610,g0611,GENE-GENE,0.19
g0612,g0613,GENE-GENE,0.21
g0614,g0615,GENE-GENE,0.18
g0616,g0617,GENE-GENE,0.18
g0618,g0619,GENE-GENE,0.19
g0620,g0621,GENE-GENE,0.11
g0622,g0623,GENE-GENE,0.21
g0624,g0625,GENE-GENE,0.2
g0626,g0627,GENE-GENE,0.21
g0628,g0629,GENE-GENE,0.18
g0630,g0631,GENE-GENE,0.19
g0632,g0633,GENE-GENE,0.21
g0634,g0635,GENE-GENE,0.18
g0636,g0637,GENE-GENE,0.18
g0638,g0639,GENE-GENE,0.19
g0640,g0641,GENE-GENE,0.11
g0642,g0643,GENE-GENE,0.21
g0644,g0645,GENE-GENE,0.2
g0646,g0647,GENE-GENE,0.21
g0648,g0649,GENE-GENE,0.18
g0650,g0651,GENE-GENE,0.19
g0652,g0653,GENE-GENE,0.21
g0654,g0655,GENE-GENE,0.18
g0656,g0657,GENE-GENE,0.18
g0658,g0659,GENE-GENE,0.19
g0660,g0661,GENE-GENE,0.11
g0662,g0663,GENE-GENE,0.21
g0664,g0665,GENE-GENE,0.2
g0666,g0667,GENE-GENE,0.21
g0668,g0669,GENE-GENE,0.18
g0670,g0671,GENE-GENE,0.19
g0672,g0673,GENE-GENE,0.21
g0674,g0675,GENE-GENE,0.18
g0676,g0677,GENE-GENE,0.18
g0678,g0679,GENE-GENE,0.19
g0680,g0681,GENE-GENE,0.11
g0682,g0683,GENE-GENE,0.21
g0684,g0685,GENE-GENE,0.2
g0686,g0687,GENE-GENE,0.21
g0688,g0689,GENE-GENE,0.18
g0690,g0691,GENE-GENE,0.19
g0692,g0693,GENE-GENE,0.21
g0694,g0695,GENE-GENE,0.18
g0696,g0697,GENE-GENE,0.18
g0698,g0699,GENE-GENE,0.19
g0700,g0701,GENE-GENE,0.11
g0702,g0703,GENE-GENE,0.21
g0704,g0705,GENE-GENE,0.2
g0706,g0707,GENE-GENE,0.21
g0708,g0709,GENE-GENE,0.18
g0710,g0711,GENE-GENE,0.19
g0712,g0713,GENE-GENE,0.21
g0714,g0715,GENE-GENE,0.18
g0716,g0717,GENE-GENE,0.18
g0718,g0719,GENE-GENE,0.19
g0720,g0721,GENE-GENE,0.11
g0722,g0723,GENE-GENE,0.21
g0724,g0725,GENE-GENE,0.2
g0726,g0727,GENE-GENE,0.21
g0728,g0729,GENE-GENE,0.18
g0730,g0731,GENE-GENE,0.19
g0732,g0733,GENE-GENE,0.21
g0734,g0735,GENE-GENE,0.18
g0736,g0737,GENE-GENE,0.18
g0738,g0739,GENE-GENE,0.19
g0740,g0741,GENE-GENE,0.11
g0742,g0743,GENE-GENE,0.19
g0744,g0745,GENE-GENE,0.19
g0746,g0747,GENE-GENE,0.19
g0748,g0749,GENE-GENE,0.19
