from,to,type,weight
g548,g552,GENE-GENE,0.213414924
g545,g552,GENE-GENE,0.213113978
g375,g519,GENE-GENE,0.213064991
g532,g519,GENE-GENE,0.213690175
g378,g519,GENE-GENE,0.214538665
g474,g519,GENE-GENE,0.21291156
g554,g580,GENE-GENE,0.214443279
g474,g578,GENE-GENE,0.213234134
g467,g578,GENE-GENE,0.216078333
g525,g525,GENE-GENE,0.215735702
g400,g401,GENE-GENE,0.215831457
g400,g385,GENE-GENE,0.214154256
g440,g553,GENE-GENE,0.217008899
g373,g418,GENE-GENE,0.218571859
g548,g418,GENE-GENE,0.220394912
g479,g418,GENE-GENE,0.218299474
g552,g418,GENE-GENE,0.213216388
g474,g418,GENE-GENE,0.214462042
g367,g418,GENE-GENE,0.218959503
g441,g418,GENE-GENE,0.216711835
g449,g418,GENE-GENE,0.216996237
g443,g418,GENE-GENE,0.217312803
g378,g418,GENE-GENE,0.21817562
g543,g418,GENE-GENE,0.213062588
g444,g418,GENE-GENE,0.216840126
g467,g418,GENE-GENE,0.216139705
g543,g509,GENE-GENE,0.216871736
g562,g509,GENE-GENE,0.219941644
g369,g509,GENE-GENE,0.215241396
g444,g509,GENE-GENE,0.219770652
g376,g509,GENE-GENE,0.21667394
g382,g509,GENE-GENE,0.217083396
g373,g509,GENE-GENE,0.215630981
g479,g509,GENE-GENE,0.215067446
g467,g509,GENE-GENE,0.213060184
g443,g509,GENE-GENE,0.220271798
g449,g509,GENE-GENE,0.217865061
g378,g509,GENE-GENE,0.216302933
g548,g509,GENE-GENE,0.214796077
g367,g509,GENE-GENE,0.21896052
g418,g509,GENE-GENE,0.216391387
g575,g581,GENE-GENE,0.218518436
g485,g581,GENE-GENE,0.217377965
g358,g581,GENE-GENE,0.213752564
g357,g581,GENE-GENE,0.215106081
g536,g581,GENE-GENE,0.216213186
g438,g581,GENE-GENE,0.217943718
g434,g581,GENE-GENE,0.213984096
g556,g581,GENE-GENE,0.218679908
g472,g581,GENE-GENE,0.213956737
g425,g581,GENE-GENE,0.215950597
g457,g581,GENE-GENE,0.215257571
g395,g581,GENE-GENE,0.218152513
g445,g581,GENE-GENE,0.217152071
g555,g581,GENE-GENE,0.217274538
g390,g581,GENE-GENE,0.215198602
g537,g581,GENE-GENE,0.219424416
g541,g581,GENE-GENE,0.219482646
g393,g581,GENE-GENE,0.214022639
g493,g581,GENE-GENE,0.212939566
g530,g463,GENE-GENE,0.219558899
g526,g463,GENE-GENE,0.219134931
g510,g463,GENE-GENE,0.219400108
g478,g480,GENE-GENE,0.218528418
g370,g480,GENE-GENE,0.215198972
g548,g480,GENE-GENE,0.215246572
g443,g480,GENE-GENE,0.214787389
g355,g480,GENE-GENE,0.214465924
g367,g480,GENE-GENE,0.220236398
g491,g480,GENE-GENE,0.213967921
g479,g480,GENE-GENE,0.213893794
g375,g480,GENE-GENE,0.218843321
g449,g480,GENE-GENE,0.218815407
g529,g480,GENE-GENE,0.216462649
g381,g480,GENE-GENE,0.214578317
g562,g480,GENE-GENE,0.218032356
g542,g480,GENE-GENE,0.213916716
g376,g480,GENE-GENE,0.219518046
