id,node,node.type,node.label
g355,A2ML1,1,GENE
g356,ACR,1,GENE
g357,ACRV1,1,GENE
g358,ACTL7B,1,GENE
g359,ACTN2,1,GENE
g360,ACTN3,1,GENE
g361,ADAD1,1,GENE
g362,ADAM2,1,GENE
g363,ADAM5,1,GENE
g364,ADCK1,1,GENE
g365,AFM,1,GENE
g366,AHSG,1,GENE
g367,AKR1C1,1,GENE
g368,ALB,1,GENE
g369,AMBP,1,GENE
g370,ANG,1,GENE
g371,APCS,1,GENE
g372,APOA1,1,GENE
g373,APOA2,1,GENE
g374,APOA5,1,GENE
g375,APOF,1,GENE
g376,APOH,1,GENE
g377,ARG1,1,GENE
g378,ASGR1,1,GENE
g379,ATP2A1,1,GENE
g380,AZGP1,1,GENE
g381,BAAT,1,GENE
g382,BHMT,1,GENE
g383,BHMT2,1,GENE
g384,BLK,1,GENE
g385,BTK,1,GENE
g386,C8G,1,GENE
g387,CA5A,1,GENE
g388,CACNA1S,1,GENE
g389,CAMK2A,1,GENE
g390,CAPZA3,1,GENE
g391,CASQ1,1,GENE
g392,CCDC96,1,GENE
g393,CCNA1,1,GENE
g394,CCR6,1,GENE
g395,CCT6B,1,GENE
g396,CD151,1,GENE
g397,CD19,1,GENE
g398,CD3D,1,GENE
g399,CD3E,1,GENE
g400,CD79A,1,GENE
g401,CD79B,1,GENE
g402,CD8A,1,GENE
g403,CDH16,1,GENE
g404,CDKN3,1,GENE
g405,CEL,1,GENE
g406,CENPV,1,GENE
g407,CES3,1,GENE
g408,CETN1,1,GENE
g409,CGA,1,GENE
g410,CKM,1,GENE
g411,CLGN,1,GENE
g412,CLPS,1,GENE
g413,CNGA1,1,GENE
g414,COIL,1,GENE
g415,COX6B2,1,GENE
g416,COX8C,1,GENE
g417,CPAMD8,1,GENE
g418,CPS1,1,GENE
g419,CRISP2,1,GENE
g420,CRP,1,GENE
g421,CRX,1,GENE
g422,CRYAA,1,GENE
g423,CRYBA1,1,GENE
g424,CSRP3,1,GENE
g425,CST8,1,GENE
g426,CTRB1,1,GENE
g427,CUBN,1,GENE
g428,CXCL13,1,GENE
g429,CYP1A2,1,GENE
g430,CYP4B1,1,GENE
g431,CYP7B1,1,GENE
g432,CYTIP,1,GENE
g433,DDX4,1,GENE
g434,DMRTB1,1,GENE
g435,DNAJB13,1,GENE
g436,DNAJB8,1,GENE
g437,DNASE1,1,GENE
g438,DPEP3,1,GENE
g439,DRD4,1,GENE
g440,EGF,1,GENE
g441,F10,1,GENE
g442,F13B,1,GENE
g443,F2,1,GENE
g444,F9,1,GENE
g445,FABP9,1,GENE
g446,FAM3D,1,GENE
g447,FAM50B,1,GENE
g448,FGB,1,GENE
g449,FGG,1,GENE
g450,FHL2,1,GENE
g451,FOLR1,1,GENE
g452,FOXA3,1,GENE
g453,FSHB,1,GENE
g454,GABRA6,1,GENE
g455,GALNT11,1,GENE
g456,GC,1,GENE
g457,GKAP1,1,GENE
g458,GNAT1,1,GENE
g459,GNAT2,1,GENE
g460,GNMT,1,GENE
g461,GPR31,1,GENE
g462,GSG1,1,GENE
g463,GUCA1A,1,GENE
g464,H1-9P,1,GENE
g465,H2BC5,1,GENE
g466,HCK,1,GENE
g467,HGFAC,1,GENE
g468,HIF1A,1,GENE
g469,HLA-DOB,1,GENE
g470,HLA-DQA1,1,GENE
g471,HLA-DRB1,1,GENE
g472,HMGB4,1,GENE
g473,HPX,1,GENE
g474,HRG,1,GENE
g475,HSD3B2,1,GENE
g476,HSPA1L,1,GENE
g477,INS,1,GENE
g478,ITIH1,1,GENE
g479,ITIH2,1,GENE
g480,ITIH4,1,GENE
g481,ITK,1,GENE
g482,KIF9,1,GENE
g483,LARP7,1,GENE
g484,LCK,1,GENE
g485,LDHC,1,GENE
g486,LECT2,1,GENE
g487,LHB,1,GENE
g488,LIPC,1,GENE
g489,LRP2,1,GENE
g490,LRWD1,1,GENE
g491,MASP1,1,GENE
g492,MB,1,GENE
g493,MEIG1,1,GENE
g494,MIOX,1,GENE
g495,MS4A1,1,GENE
g496,MYB,1,GENE
g497,MYBPC3,1,GENE
g498,MYF6,1,GENE
g499,MYH6,1,GENE
g500,MYL3,1,GENE
g501,MYL4,1,GENE
g502,MYLPF,1,GENE
g503,NASP,1,GENE
g504,NKX2-5,1,GENE
g505,NPHP1,1,GENE
g506,OAZ3,1,GENE
g507,ODF2,1,GENE
g508,OPN1SW,1,GENE
g509,OTC,1,GENE
g510,PDE6A,1,GENE
g511,PDE6B,1,GENE
g512,PDE6G,1,GENE
g513,PEMT,1,GENE
g514,PHKG2,1,GENE
g515,PHOSPHO2,1,GENE
g516,PIAS2,1,GENE
g517,PMFBP1,1,GENE
g518,POMC,1,GENE
g519,PON1,1,GENE
g520,POU1F1,1,GENE
g521,POU2AF1,1,GENE
g522,PPEF2,1,GENE
g523,PRL,1,GENE
g524,PRM1,1,GENE
g525,PROM1,1,GENE
g526,PRPH2,1,GENE
g527,PSMC3IP,1,GENE
g528,PYGM,1,GENE
g529,PZP,1,GENE
g530,RCVRN,1,GENE
g531,RFX2,1,GENE
g532,RGN,1,GENE
g533,RHO,1,GENE
g534,RNASEH2A,1,GENE
g535,RNF138,1,GENE
g536,ROPN1L,1,GENE
g537,RPL39L,1,GENE
g538,RS1,1,GENE
g539,SAG,1,GENE
g540,SAYSD1,1,GENE
g541,SERF1A,1,GENE
g542,SERPINC1,1,GENE
g543,SERPIND1,1,GENE
g544,SGF29,1,GENE
g545,SLC10A1,1,GENE
g546,SLC12A3,1,GENE
g547,SLC16A8,1,GENE
g548,SLC27A5,1,GENE
g549,SLC2A2,1,GENE
g550,SLC34A1,1,GENE
g551,SLC6A18,1,GENE
g552,SLC7A2,1,GENE
g553,SLC7A9,1,GENE
g554,SMCP,1,GENE
g555,SPA17,1,GENE
g556,STAG3,1,GENE
g557,STAR,1,GENE
g558,SYCE2,1,GENE
g559,SYCP1,1,GENE
g560,SYNGR4,1,GENE
g561,TAT,1,GENE
g562,TDO2,1,GENE
g563,TEKT2,1,GENE
g564,TFR2,1,GENE
g565,THEG,1,GENE
g566,TNNC1,1,GENE
g567,TNNC2,1,GENE
g568,TNNI2,1,GENE
g569,TNNI3,1,GENE
g570,TNNT2,1,GENE
g571,TNP2,1,GENE
g572,TSSK1B,1,GENE
g573,TSSK2,1,GENE
g574,TULP1,1,GENE
g575,TULP2,1,GENE
g576,UGT2B10,1,GENE
g577,UOX,1,GENE
g578,UPP2,1,GENE
g579,VIL1,1,GENE
g580,YBX2,1,GENE
g581,ZPBP,1,GENE
