from,to,type,weight
g60,g61,GENE-GENE,0.179878691
g32,g22,GENE-GENE,0.179480765
g22,g287,GENE-GENE,0.179480765
g348,g342,GENE-GENE,0.181651384
g332,g79,GENE-GENE,0.181651384
g324,g8,GENE-GENE,0.179480765
g246,g320,GENE-GENE,0.181651384
g301,g296,GENE-GENE,0.18028918
g316,g318,GENE-GENE,0.181780262
g320,g319,GENE-GENE,0.181651384
g180,g228,GENE-GENE,0.184449799
g160,g293,GENE-GENE,0.179480765
g236,g313,GENE-GENE,0.181290119
g132,g144,GENE-GENE,0.178785055
g125,g124,GENE-GENE,0.179480765
g68,g124,GENE-GENE,0.179480765
g121,g124,GENE-GENE,0.179480765
g293,g161,GENE-GENE,0.179480765
g151,g150,GENE-GENE,0.179480765
g135,g220,GENE-GENE,0.219952048
g276,g220,GENE-GENE,0.219952048
g248,g247,GENE-GENE,0.188393944
g309,g251,GENE-GENE,0.181651384
g293,g162,GENE-GENE,0.179480765
g228,g353,GENE-GENE,0.184449799
g180,g353,GENE-GENE,0.184449799
g22,g21,GENE-GENE,0.179480765
g332,g78,GENE-GENE,0.181651384
g23,g107,GENE-GENE,0.181651384
g342,g349,GENE-GENE,0.181651384
g348,g349,GENE-GENE,0.181651384
g57,g55,GENE-GENE,0.219952048
g135,g261,GENE-GENE,0.219952048
g220,g261,GENE-GENE,0.219952048
g276,g261,GENE-GENE,0.219952048
g64,g65,GENE-GENE,0.219952048
g309,g308,GENE-GENE,0.181651384
g346,g254,GENE-GENE,0.184449799
g324,g9,GENE-GENE,0.179480765
g23,g108,GENE-GENE,0.181651384
g324,g10,GENE-GENE,0.179480765
g292,g71,GENE-GENE,0.179480765
g20,g18,GENE-GENE,0.188505005
g293,g237,GENE-GENE,0.179480765
g48,g13,GENE-GENE,0.184449799
g332,g77,GENE-GENE,0.181651384
g142,g87,GENE-GENE,0.177942833
g151,g260,GENE-GENE,0.179480765
g327,g326,GENE-GENE,0.178117187
g282,g280,GENE-GENE,0.184449799
g265,g264,GENE-GENE,0.188393944
g354,g304,GENE-GENE,0.188393944
g324,g11,GENE-GENE,0.179480765
g316,g315,GENE-GENE,0.181780262
g318,g315,GENE-GENE,0.182940665
g39,g310,GENE-GENE,0.181651384
g336,g338,GENE-GENE,0.184449799
g169,g170,GENE-GENE,0.184736231
g44,g331,GENE-GENE,0.186236953
g320,g128,GENE-GENE,0.181651384
g289,g290,GENE-GENE,0.179480765
g118,g120,GENE-GENE,0.184449799
g24,g148,GENE-GENE,0.179480765
g97,g148,GENE-GENE,0.179480765
g141,g333,GENE-GENE,0.181651384
g312,g333,GENE-GENE,0.181651384
g179,g15,GENE-GENE,0.181651384
g127,g49,GENE-GENE,0.179480765
g57,g54,GENE-GENE,0.219952048
g55,g54,GENE-GENE,0.219952048
g149,g90,GENE-GENE,0.184449799
g178,g105,GENE-GENE,0.188393944
g57,g53,GENE-GENE,0.219952048
g55,g53,GENE-GENE,0.17833965
g54,g53,GENE-GENE,0.219952048
g335,g325,GENE-GENE,0.184449799
g237,g352,GENE-GENE,0.183750195
g257,g328,GENE-GENE,0.181651384
g157,g66,GENE-GENE,0.181651384
g349,g347,GENE-GENE,0.181651384
g342,g347,GENE-GENE,0.181651384
g348,g347,GENE-GENE,0.181651384
g53,g58,GENE-GENE,0.219952048
g54,g58,GENE-GENE,0.219952048
g57,g58,GENE-GENE,0.219952048
g55,g58,GENE-GENE,0.219952048
g111,g305,GENE-GENE,0.188393944
g279,g278,GENE-GENE,0.177718537
g171,g159,GENE-GENE,0.184449799
g140,g159,GENE-GENE,0.179480765
g221,g167,GENE-GENE,0.181651384
g195,g207,GENE-GENE,0.198962589
g318,g317,GENE-GENE,0.181780262
g315,g317,GENE-GENE,0.181780262
g316,g317,GENE-GENE,0.181780262
g235,g112,GENE-GENE,0.181651384
g309,g252,GENE-GENE,0.181651384
g294,g176,GENE-GENE,0.179480765
g175,g176,GENE-GENE,0.179480765
g177,g176,GENE-GENE,0.179480765
g291,g218,GENE-GENE,0.179480765
g216,g218,GENE-GENE,0.179480765
g217,g218,GENE-GENE,0.179480765
g341,g218,GENE-GENE,0.179480765
g9,g158,GENE-GENE,0.188393944
g44,g43,GENE-GENE,0.185892551
g331,g43,GENE-GENE,0.189987527
g345,g344,GENE-GENE,0.209390845
g86,g133,GENE-GENE,0.181651384
g266,g133,GENE-GENE,0.181651384
g238,g133,GENE-GENE,0.181651384
g267,g133,GENE-GENE,0.181651384
g14,g351,GENE-GENE,0.188393944
g257,g258,GENE-GENE,0.181651384
g236,g314,GENE-GENE,0.181290119
g135,g268,GENE-GENE,0.189366259
g220,g268,GENE-GENE,0.219952048
g276,g268,GENE-GENE,0.186239249
g261,g268,GENE-GENE,0.219952048
g233,g231,GENE-GENE,0.181651384
g269,g274,GENE-GENE,0.179480765
g159,g103,GENE-GENE,0.184449799
g207,g188,GENE-GENE,0.198962589
g195,g188,GENE-GENE,0.198962589
g223,g225,GENE-GENE,0.179480765
g226,g225,GENE-GENE,0.179480765
g41,g73,GENE-GENE,0.182609721
g40,g73,GENE-GENE,0.182609721
g245,g117,GENE-GENE,0.177946381
g149,g89,GENE-GENE,0.184449799
g57,g52,GENE-GENE,0.219952048
g53,g52,GENE-GENE,0.180642022
g55,g52,GENE-GENE,0.183549571
g54,g52,GENE-GENE,0.219952048
g58,g52,GENE-GENE,0.219952048
g240,g288,GENE-GENE,0.180492757
g148,g253,GENE-GENE,0.179480765
g195,g182,GENE-GENE,0.198962589
g188,g182,GENE-GENE,0.198962589
g207,g182,GENE-GENE,0.198962589
g182,g190,GENE-GENE,0.198962589
g195,g190,GENE-GENE,0.198962589
g207,g190,GENE-GENE,0.198962589
g188,g190,GENE-GENE,0.198962589
g26,g27,GENE-GENE,0.184449799
g25,g27,GENE-GENE,0.184449799
g139,g229,GENE-GENE,0.181778123
g38,g229,GENE-GENE,0.181778123
g71,g285,GENE-GENE,0.179480765
g157,g350,GENE-GENE,0.181651384
g66,g350,GENE-GENE,0.181651384
g182,g198,GENE-GENE,0.198962589
g195,g198,GENE-GENE,0.198962589
g188,g198,GENE-GENE,0.198962589
g207,g198,GENE-GENE,0.198962589
g190,g198,GENE-GENE,0.198962589
g188,g199,GENE-GENE,0.198962589
g198,g199,GENE-GENE,0.198962589
g190,g199,GENE-GENE,0.198962589
g182,g199,GENE-GENE,0.198962589
g195,g199,GENE-GENE,0.198962589
g207,g199,GENE-GENE,0.198962589
g277,g34,GENE-GENE,0.181651384
g57,g56,GENE-GENE,0.219952048
g53,g56,GENE-GENE,0.219952048
g58,g56,GENE-GENE,0.219952048
g55,g56,GENE-GENE,0.219952048
g54,g56,GENE-GENE,0.219952048
g52,g56,GENE-GENE,0.219952048
g207,g189,GENE-GENE,0.219952048
g198,g189,GENE-GENE,0.219952048
g195,g189,GENE-GENE,0.219952048
g182,g189,GENE-GENE,0.219952048
g190,g189,GENE-GENE,0.219952048
g199,g189,GENE-GENE,0.219952048
g188,g189,GENE-GENE,0.219952048
g74,g76,GENE-GENE,0.177707239
g13,g96,GENE-GENE,0.184449799
g222,g96,GENE-GENE,0.181651384
g48,g96,GENE-GENE,0.184449799
g4,g5,GENE-GENE,0.192464828
g306,g145,GENE-GENE,0.188393944
g116,g110,GENE-GENE,0.188393944
g237,g219,GENE-GENE,0.181651384
g2,g219,GENE-GENE,0.181651384
g352,g219,GENE-GENE,0.181651384
g309,g307,GENE-GENE,0.181651384
g308,g307,GENE-GENE,0.180290475
g225,g224,GENE-GENE,0.179480765
g53,g109,GENE-GENE,0.178166116
g52,g109,GENE-GENE,0.17896982
g54,g109,GENE-GENE,0.219952048
g57,g109,GENE-GENE,0.219952048
g58,g109,GENE-GENE,0.219952048
g56,g109,GENE-GENE,0.219952048
g330,g329,GENE-GENE,0.188393944
g71,g283,GENE-GENE,0.179480765
g195,g181,GENE-GENE,0.198962589
g188,g181,GENE-GENE,0.198962589
g199,g181,GENE-GENE,0.198962589
g207,g181,GENE-GENE,0.198962589
g182,g181,GENE-GENE,0.198962589
g198,g181,GENE-GENE,0.198962589
g189,g181,GENE-GENE,0.219952048
g190,g181,GENE-GENE,0.198962589
g159,g138,GENE-GENE,0.179480765
g188,g192,GENE-GENE,0.198962589
g190,g192,GENE-GENE,0.198962589
g189,g192,GENE-GENE,0.219952048
g181,g192,GENE-GENE,0.198962589
g198,g192,GENE-GENE,0.198962589
g195,g192,GENE-GENE,0.198962589
g199,g192,GENE-GENE,0.198962589
g207,g192,GENE-GENE,0.198962589
g182,g192,GENE-GENE,0.198962589
g207,g204,GENE-GENE,0.198962589
g192,g204,GENE-GENE,0.198962589
g181,g204,GENE-GENE,0.198962589
g188,g204,GENE-GENE,0.198962589
g182,g204,GENE-GENE,0.198962589
g198,g204,GENE-GENE,0.198962589
g195,g204,GENE-GENE,0.198962589
g190,g204,GENE-GENE,0.198962589
g199,g204,GENE-GENE,0.198962589
g189,g204,GENE-GENE,0.219952048
g189,g183,GENE-GENE,0.219952048
g199,g183,GENE-GENE,0.198962589
g181,g183,GENE-GENE,0.198962589
g198,g183,GENE-GENE,0.198962589
g195,g183,GENE-GENE,0.198962589
g190,g183,GENE-GENE,0.198962589
g207,g183,GENE-GENE,0.198962589
g192,g183,GENE-GENE,0.198962589
g182,g183,GENE-GENE,0.198962589
g204,g183,GENE-GENE,0.198962589
g188,g183,GENE-GENE,0.198962589
g188,g184,GENE-GENE,0.198962589
g182,g184,GENE-GENE,0.198962589
g207,g184,GENE-GENE,0.198962589
g198,g184,GENE-GENE,0.198962589
g181,g184,GENE-GENE,0.198962589
g204,g184,GENE-GENE,0.198962589
g190,g184,GENE-GENE,0.198962589
g192,g184,GENE-GENE,0.198962589
g183,g184,GENE-GENE,0.198962589
g195,g184,GENE-GENE,0.198962589
g199,g184,GENE-GENE,0.198962589
g189,g184,GENE-GENE,0.219952048
g244,g51,GENE-GENE,0.179480765
g242,g51,GENE-GENE,0.179480765
g241,g51,GENE-GENE,0.179480765
g262,g263,GENE-GENE,0.181778123
g47,g91,GENE-GENE,0.184449799
g114,g91,GENE-GENE,0.184449799
g155,g154,GENE-GENE,0.177737449
g153,g154,GENE-GENE,0.177737449
